id,first_name,last_name,grade1,grade2,grade3,gender_bio
217,Agustin,Champniss,2.8,2.1,3.6,M
218,Meghan,Challen,3.8,4.5,1.7,F
219,Thaine,Puleque,3.1,2.8,1.1,M
220,Orsa,Sneezem,3.6,2.6,4.8,F
221,Fritz,Dacke,2.1,1.5,1.2,M
222,Chuck,Saiz,1.1,3.0,1.9,M
223,Guillaume,Wimpey,1.2,1.7,4.0,M
224,Josefina,Cashley,1.1,1.9,3.2,F
225,Gifford,Huckabe,2.9,3.7,4.0,M
226,Gale,Oylett,2.0,1.2,3.4,F
227,Nanny,Ivashkin,1.7,2.5,1.1,F
228,Rolf,Pease,3.4,4.2,1.1,M
229,Aldis,Durant,3.1,4.7,2.4,M
230,Humphrey,Arsnell,4.0,3.5,4.5,M
231,Quint,Dimbylow,3.3,1.4,1.6,M
232,Hailey,Deary,1.3,1.0,2.1,M
233,Kellyann,Suddards,2.3,4.6,2.9,F
234,Ania,Brammer,1.1,1.9,3.1,F
235,Clare,Measures,3.5,3.9,2.1,F
236,Toddie,Mutch,2.4,1.3,4.7,M
237,Thorpe,Faltin,3.8,2.7,2.6,M
238,Brade,Aymerich,1.1,2.8,2.8,M
239,Lurlene,Zebedee,2.9,1.3,3.5,F
240,Chas,Jinkins,4.3,1.3,3.3,M
241,Zondra,Caldwall,2.0,1.3,1.2,F
242,Karolina,Elward,4.9,2.8,2.4,F
243,Dwayne,Trett,2.1,4.1,4.6,M
244,Janela,Darrow,1.3,1.7,1.0,F
245,Dominik,Chansonnau,3.0,1.5,2.4,M
246,Bealle,Tarbett,2.2,1.0,4.9,M
247,Laughton,Attenbrow,3.6,3.7,4.6,M
248,Mada,Castana,3.5,1.0,1.8,F
249,Giulia,Braycotton,3.0,2.6,4.7,F
250,Patsy,Montier,2.2,1.5,3.6,F
251,Krispin,Askem,2.1,2.7,2.5,M
252,Celina,Dewane,2.8,4.2,3.0,F
253,Emerson,Bartolijn,1.4,1.4,1.5,M
254,Duke,Allard,1.1,2.5,2.6,M
255,Judi,Garlic,2.6,3.2,1.9,F
256,Corey,Carruth,1.3,2.3,1.4,M
257,Verna,Sutcliffe,1.6,2.5,2.8,F
258,Reggi,Emer,2.5,2.2,2.0,F
259,Lacy,Tideswell,1.9,2.5,4.5,F
260,Nan,Goodisson,2.0,1.9,4.3,F
261,Jeremiah,Liff,5.0,4.5,1.0,M
262,Esdras,Coper,1.3,3.9,3.8,M
263,Karissa,Aron,1.2,4.5,2.3,F
264,Ebonee,Garwell,2.1,2.2,5.0,F
265,Clemmy,Keppe,1.5,3.0,1.2,F
266,Trudy,Dan,2.2,2.6,2.3,F
267,Beale,Klugel,3.5,3.9,1.5,M
268,Eben,Shah,4.5,2.1,2.3,M
269,Domenico,Meysham,3.1,4.1,2.7,M
270,Catrina,Giottini,4.5,2.9,2.0,F
271,Maribeth,Wyrall,1.4,1.7,3.9,F
272,Grissel,Bastistini,1.1,4.1,2.6,F
273,Ermina,Feehely,3.1,1.5,3.5,F
274,Zachery,Adolthine,2.9,3.5,5.0,M
275,Stevy,Chopy,3.3,3.2,2.8,M
276,Em,Dimitrov,3.6,2.7,2.1,F
277,Dorine,Boxill,1.8,4.3,2.5,F
278,Lonnard,Siggens,3.7,4.5,1.1,M
279,Quincy,Vallery,4.9,3.2,3.4,M
280,Coretta,Birtonshaw,1.8,3.6,2.3,F
281,Turner,Gilvear,4.2,3.0,4.0,M
282,Doria,Gilder,2.3,4.0,2.7,F
283,Garland,Paszak,2.1,3.5,4.2,F
284,Wren,Accum,4.9,3.8,3.0,F
285,Logan,Haistwell,3.9,1.3,3.8,M
286,Tonnie,Diggons,3.5,4.9,3.1,M
287,Kurt,Bank,1.3,1.4,4.2,M
288,Rodrick,Corfield,4.3,3.8,1.9,M
289,Cher,Jinks,2.9,1.8,4.2,F
290,Alastair,Malley,3.6,1.8,4.1,M
291,Babs,Pebworth,5.0,2.0,1.0,F
292,Abel,Bracegirdle,1.6,2.2,4.1,M
293,Gratia,Abrahams,4.7,4.0,4.9,F
294,Marcos,Apark,1.7,2.4,2.4,M
295,Shaun,McCloughen,2.3,1.4,2.2,F
296,Maje,Vogt,2.4,3.9,4.9,M
297,Ede,Robey,4.9,3.0,1.6,F
298,Jillene,Van de Velde,3.6,1.6,4.5,F
299,Trescha,Ericsson,2.6,1.7,1.8,F
300,Sheila-kathryn,Gilbertson,1.9,2.2,4.5,F
301,Rennie,Rickersy,2.5,4.5,3.9,F
302,Pat,Layzell,4.3,2.5,4.5,F
303,Abby,Pleaden,4.1,3.7,2.1,F
304,Horten,Aucourte,2.2,4.3,3.2,M
305,Caria,Kilshall,2.5,3.9,4.7,F
306,Odelia,Maloney,3.0,1.9,2.5,F
307,Nikkie,Renneke,1.7,3.9,4.8,F
308,Elisha,Schellig,2.8,3.5,1.8,M
309,Omero,Currum,1.3,1.4,4.3,M
310,Emiline,Antonacci,2.7,2.2,1.8,F
311,Mady,Digby,4.7,4.3,4.7,F
312,Denny,Belamy,5.0,2.2,1.9,M
313,Kelci,Levecque,1.1,4.7,2.0,F
314,Nadia,Revening,2.0,4.2,3.1,F
315,Ximenez,Attreed,4.6,4.6,1.4,M
316,Hyacinthe,Lashley,3.9,4.3,3.9,F
317,Prinz,McMickan,2.3,2.2,1.9,M
318,Richard,Heaford,1.3,1.6,3.1,M
319,Arther,Lies,3.0,2.4,1.4,M
320,Ynes,Breeder,3.2,3.4,3.3,F
321,Collette,Di Maria,1.3,3.9,3.0,F
322,Maximilianus,Lucas,1.3,1.9,4.1,M
323,Dukie,Middlemist,1.6,4.9,1.5,M
324,Finlay,Stoppe,2.6,4.5,2.7,M
325,Corny,Haggis,4.6,1.4,4.8,F
326,Taryn,Carn,4.6,3.2,4.3,F
327,Hercule,Victory,1.1,1.7,2.3,M
328,Suellen,Callar,1.7,3.4,4.0,F
329,Dulcie,Drowsfield,2.1,1.9,3.1,F
330,Merilee,Dayes,3.5,4.5,2.7,F
331,Bidget,Hellyer,4.6,4.8,1.1,F
332,Joly,Tournay,3.3,1.7,4.5,F
333,Jyoti,Doers,3.7,4.1,1.7,F
334,Link,Ranner,3.4,4.9,1.9,M
335,Arie,Arkow,5.0,1.2,3.6,M
336,Bord,Rehm,3.7,2.5,2.1,M
337,Shalom,Renhard,1.9,3.8,2.2,M
338,Jose,Whoston,2.2,2.0,3.4,M
339,Barthel,Wherton,1.7,1.4,2.5,M
340,Nell,McCorley,3.3,1.5,4.4,F
341,Tedie,Swiffen,1.9,3.7,3.0,M
342,Anderson,Steanson,2.0,4.5,3.3,M
343,Kaitlynn,Chaston,4.1,1.4,2.8,F
344,Claudie,Hryncewicz,2.1,3.1,4.8,F
345,Nicolai,Neno,1.7,4.3,2.7,M
346,Eziechiele,Coady,4.1,3.4,3.0,M
347,Maisie,Gopsill,3.4,4.7,4.2,F
348,Caroline,Torregiani,1.8,1.2,4.2,F
349,Padraic,Loney,3.6,1.3,4.1,M
350,Ahmed,Jeannon,1.6,1.3,3.9,M
351,Venita,Trelevan,2.2,1.4,4.1,F
352,Gilles,Geraudy,3.5,4.5,4.9,M
353,Ivett,Beed,1.4,2.4,2.6,F
354,Elbertine,Santello,4.8,2.8,4.8,F
355,Marlo,Tawse,3.8,2.1,1.1,F
356,Clay,Alf,3.6,2.0,4.0,M
357,Cherrita,Keirl,2.2,2.3,2.4,F
358,Tyrone,Huertas,3.3,4.7,2.3,M
359,Constantia,Mallaby,2.0,3.4,3.2,F
360,Neddy,Staning,2.5,2.1,2.3,M
361,Carla,Gosnay,2.4,2.1,2.8,F
362,Zechariah,Sprakes,2.2,2.0,3.2,M
363,Bogey,Broomhall,1.8,3.1,2.2,M
364,Adiana,Jansey,1.1,4.6,2.4,F
365,Adoree,Leathley,4.3,4.9,2.1,F
366,Joelle,McDyer,1.8,1.4,1.0,F
367,Emiline,Shackell,1.5,1.6,4.4,F
368,Deck,Townley,2.0,4.6,3.5,M
369,Gerrie,Grimestone,3.0,4.3,4.3,F
370,Jemie,Millson,1.5,4.9,1.1,F
371,Roger,Brennon,4.4,3.1,5.0,M
372,Ewen,Piggens,4.0,2.6,4.6,M
373,Heinrick,Laverick,1.2,4.7,3.4,M
374,Alexander,Leads,3.5,1.7,1.2,M
375,Meade,Humbey,3.0,2.4,3.9,F
376,Robby,Gobel,3.8,3.6,3.4,M
377,Herc,Lacer,3.1,3.1,2.0,M
378,Eli,McMonies,4.8,4.9,1.5,M
379,Lonee,Taysbil,2.2,3.3,2.2,F
380,Guendolen,Arnell,3.0,2.4,1.5,F
381,Alyss,Toppas,3.3,2.0,1.6,F
382,Lydie,Rizzolo,2.0,4.8,3.5,F
383,Carmelia,Korda,1.2,4.3,4.3,F
384,Farrel,Getley,1.5,2.9,3.1,M
385,Helaina,Mumberson,1.1,2.1,2.6,F
386,Jemimah,Glasebrook,3.9,1.9,1.8,F
387,Morgen,ffrench Beytagh,3.1,4.2,4.3,F
388,Dolli,Bastiman,2.3,1.9,1.1,F
389,Eirena,Hovel,2.1,1.5,3.3,F
390,Glenn,Zucker,1.7,4.7,1.3,F
391,Celisse,Chandlar,2.9,2.3,1.2,F
392,Web,Bernlin,1.0,3.3,3.1,M
393,Fallon,Footitt,1.9,2.2,1.3,F
394,Falito,Fehely,4.4,1.1,2.6,M
395,Barnebas,Bambery,2.6,2.8,2.9,M
396,Giselle,Bower,3.8,1.4,2.6,F
397,Roxy,Pinner,4.7,2.0,2.8,F
398,Iorgo,Newman,2.9,2.4,1.6,M
399,Ramon,Collington,1.5,2.1,4.7,M
400,Jayne,Petrovykh,4.0,4.9,1.9,F
401,Emile,Oade,3.3,4.1,4.3,M
402,Delano,Mooney,1.9,3.1,3.0,M
403,Etienne,Wragg,4.9,4.0,4.7,M
404,Nicola,Mogg,3.6,3.6,3.6,M
405,Rosabelle,Rontree,3.2,2.6,2.8,F
406,Tom,Abbie,4.1,4.5,3.3,M
407,Ganny,Roles,1.3,4.3,3.1,M
408,Katha,Meegin,4.6,1.9,3.2,F
409,Bree,Codling,1.9,4.6,1.7,F
410,Lucille,Hampson,1.9,3.6,4.8,F
411,Archambault,Spofforth,4.5,4.0,3.3,M
412,Annabal,Guwer,1.8,3.1,1.8,F
413,Fleming,Crosetti,4.1,1.8,1.7,M
414,Karole,Browell,3.7,3.6,2.5,F
415,Ariel,Yakubov,1.2,3.6,4.5,F
416,Hastie,Wittman,3.7,4.1,3.6,M
417,Tommy,Nester,3.3,1.6,1.3,M
418,Bentlee,Lachaize,1.8,1.6,2.3,M
419,Odessa,Cornthwaite,2.2,4.6,2.6,F
420,Johny,Kipling,3.8,4.1,4.8,M
421,Henrieta,Noseworthy,3.0,1.3,2.4,F
422,Jessi,Chaudron,4.0,1.4,3.3,F
423,Milt,Godrich,1.6,1.2,2.9,M
424,Minni,Tregent,3.2,1.2,5.0,F
425,Mariele,Salan,4.5,3.6,1.1,F
426,Erskine,Nugent,2.5,4.3,1.5,M
427,Dodi,Tace,4.3,3.1,3.5,F
428,Kendrick,Gomery,2.9,4.8,1.4,M
429,Donnell,Eames,1.0,2.7,3.7,M
430,Sayre,Janata,2.0,3.7,3.1,M
431,Hersh,Huckerby,2.4,2.3,4.4,M
432,Stavro,Spofford,3.6,3.7,1.9,M
433,Thaddus,Fonte,4.2,1.6,3.2,M
434,Elsbeth,Willman,1.9,2.2,3.7,F
435,Gayla,Dugall,4.6,2.6,3.9,F
436,Grady,Niccols,4.4,1.6,1.6,M
437,Clo,Marcus,4.3,2.7,4.4,F
438,Siffre,Losbie,3.5,2.3,2.4,M
439,Izak,McCritichie,4.1,2.3,4.4,M
440,Britt,O'Crigan,4.0,2.8,2.1,M
441,Addy,Hay,4.7,1.4,3.6,M
442,Audrie,Hebble,1.6,1.4,2.7,F
443,Nola,Lecordier,4.5,4.9,2.4,F
444,Juli,Redemile,4.8,3.9,3.3,F
445,Abran,Yosevitz,3.4,3.0,3.6,M
446,George,Phateplace,1.8,4.8,4.1,M
447,Yvon,Boyan,4.3,2.2,3.4,M
448,Luke,Pletts,3.7,2.9,2.6,M
449,Belle,Okenden,1.9,3.2,3.4,F
450,Cindie,Bragg,5.0,3.3,3.4,F
451,Hogan,Keays,2.8,4.3,1.4,M
452,Shaine,McCheyne,1.8,2.4,2.4,M
453,Ardisj,Fehely,4.0,4.5,2.9,F
454,Jonathon,Norres,2.2,2.6,1.8,M
455,Penrod,Abrashkin,4.0,3.4,3.3,M
456,Stephani,Lumsden,1.8,3.6,4.1,F
457,Roseanne,Becerra,2.0,4.6,1.7,F
458,Kevan,Kinnane,2.0,4.2,2.9,M
459,Kimball,Duckham,3.0,1.6,2.7,M
460,Gris,Linsey,3.9,4.1,2.3,M
461,Sandy,Munns,2.2,3.2,4.6,M
462,Luciano,Pantlin,3.5,2.1,4.3,M
463,Cristiano,Colleer,4.2,1.2,2.7,M
464,Chickie,Southerns,4.1,1.9,4.4,M
465,Victoria,Wilprecht,4.5,1.3,4.8,F
466,Wynnie,Cotilard,3.3,3.2,3.9,F
467,Zuzana,Struys,4.0,2.7,3.1,F
468,Townsend,Lidgard,3.4,2.2,2.7,M
469,Gerry,Bernardos,4.9,3.0,2.5,F
470,Jordain,O Sullivan,3.9,4.6,2.7,F
471,My,Johnson,1.0,3.2,2.4,M
472,Kacey,Corpes,5.0,3.6,2.0,F
473,Julietta,Ellens,2.2,3.1,4.8,F
474,Ruth,Patington,1.1,2.6,4.0,F
475,Odetta,Clamp,2.4,4.5,3.9,F
476,Maridel,Summerell,1.6,1.2,2.7,F
477,Joana,Houltham,4.3,3.3,2.1,F
478,Codi,Van Schafflaer,4.3,1.5,1.8,M
479,Loralie,Robet,3.8,2.6,4.5,F
480,Hugo,Fiander,1.6,3.4,3.6,M
481,Deirdre,Symson,3.9,4.4,2.4,F
482,Ilene,Felstead,1.5,1.7,4.9,F
483,Jacquelynn,MacCague,3.1,4.3,1.5,F
484,Cort,Brane,3.7,4.0,2.9,M
485,Judon,Grigorushkin,3.1,4.7,4.0,M
486,Sandor,Irnys,3.0,3.9,4.2,M
487,Morganne,Waghorn,2.7,1.0,2.0,F
488,Danica,Curlis,4.6,3.9,1.9,F
489,Ruperto,Yakubowicz,4.0,1.5,3.1,M
490,Donnie,Branno,2.1,3.8,2.6,F
491,Letty,Serjeantson,2.0,1.8,4.7,F
492,Sansone,Pyford,3.2,2.2,3.7,M
493,Bennie,Denisot,1.1,3.8,2.9,M
494,Paulita,Purches,3.6,3.1,2.9,F
495,Tye,Alvarado,4.5,2.5,4.4,M
496,Irvine,Jehan,4.6,3.6,3.8,M
497,Cortie,Deshon,2.9,3.3,3.6,M
498,Sophey,Harmstone,3.4,2.2,4.6,F
499,Brucie,Wynrahame,2.0,4.0,1.4,M
500,Emery,Flanders,3.7,3.0,2.7,M
501,Melva,Matusevich,4.1,2.1,3.4,F
502,Hattie,Balfour,1.1,2.5,1.2,F
503,Robenia,Bruck,2.2,3.4,3.9,F
504,Blanca,Potter,2.6,3.5,3.7,F
505,Annette,Rabl,1.5,3.1,1.3,F
506,Abbie,Simo,4.8,1.5,4.9,M
507,Joanne,Baird,4.3,4.6,2.1,F
508,Barbabra,Titmarsh,3.9,3.1,4.4,F
509,Eamon,Popworth,3.2,4.7,2.9,M
510,Melisande,Griffiths,2.6,1.3,1.4,F
511,Kaitlynn,Domnick,3.6,4.4,2.1,F
512,Clive,Couttes,3.7,1.7,1.7,M
513,Phelia,Comelini,3.6,4.0,2.2,F
514,Ileane,Whitesel,1.2,3.2,1.4,F
515,Kate,Gallichiccio,2.1,1.3,3.6,F
516,Verne,Caulfield,2.2,4.2,3.4,M
517,Kenn,McCurt,3.1,2.3,4.0,M
518,Marion,Moggie,2.8,3.2,4.7,F
519,Anya,Adair,2.2,3.2,1.5,F
520,Gael,Greeve,4.2,2.9,1.1,M
521,Thibaut,Alyukin,1.7,3.9,2.9,M
522,Kelli,Surgenor,1.7,3.2,3.6,F
523,Cynthea,Malden,2.8,4.8,4.4,F
524,Ginnie,Taks,3.5,1.5,4.2,F
525,Fran,Dedrick,3.7,2.0,2.2,F
526,Basile,Mowson,2.9,1.2,1.9,M
527,Bertram,Millea,3.9,2.0,3.1,M
528,Hope,Czaple,4.5,4.9,4.0,F
529,Finn,Minithorpe,4.3,1.0,3.4,M
530,Olivier,Skillitt,4.4,2.0,2.0,M
531,Noellyn,Panner,3.6,4.7,1.4,F
532,Dorotea,Noni,4.3,2.0,2.6,F
